

 Solution #1: 


01, 02, 03, 04, 05 | 06, 06, 06, 06, 07 | 08, 09, 06, 07, 07 | 10, 10, 10, 10, 07 | 11, 11, 11, 11, 07 | 
01, 02, 03, 04, 05 | 12, 12, 12, 12, 13 | 08, 09, 12, 14, 13 | 08, 10, 15, 13, 13 | 16, 17, 11, 18, 13 | 
01, 02, 03, 04, 05 | 01, 02, 03, 04, 05 | 08, 09, 09, 14, 19 | 16, 15, 15, 15, 15 | 16, 17, 17, 18, 18 | 
01, 02, 03, 04, 05 | 20, 20, 20, 20, 19 | 08, 09, 14, 14, 19 | 21, 21, 21, 21, 19 | 16, 17, 21, 18, 19 | 
22, 23, 23, 23, 23 | 22, 20, 24, 23, 25 | 22, 22, 24, 14, 25 | 22, 24, 24, 25, 25 | 16, 17, 24, 18, 25 | 

 Solution #2: 


01, 02, 03, 04, 05 | 06, 06, 06, 06, 07 | 08, 09, 06, 07, 07 | 10, 10, 10, 10, 07 | 11, 11, 11, 11, 07 | 
01, 02, 03, 04, 05 | 12, 12, 12, 12, 13 | 08, 09, 12, 14, 13 | 08, 09, 10, 13, 13 | 15, 16, 11, 17, 13 | 
01, 02, 03, 04, 05 | 01, 02, 03, 04, 05 | 08, 09, 18, 14, 19 | 15, 18, 18, 18, 18 | 15, 16, 16, 17, 17 | 
01, 02, 03, 04, 05 | 20, 20, 20, 20, 19 | 08, 09, 14, 14, 19 | 21, 21, 21, 21, 19 | 15, 16, 21, 17, 19 | 
22, 23, 23, 23, 23 | 22, 20, 24, 23, 25 | 22, 22, 24, 14, 25 | 22, 24, 24, 25, 25 | 15, 16, 24, 17, 25 | 

 Solution #3: 


01, 02, 03, 04, 05 | 06, 06, 06, 06, 07 | 08, 09, 06, 07, 07 | 10, 10, 10, 10, 07 | 11, 11, 11, 11, 07 | 
01, 02, 03, 04, 05 | 12, 12, 12, 12, 13 | 08, 09, 12, 14, 13 | 08, 09, 10, 13, 13 | 15, 16, 11, 17, 13 | 
01, 02, 03, 04, 05 | 01, 02, 03, 04, 05 | 08, 09, 14, 14, 18 | 15, 19, 19, 19, 19 | 15, 16, 19, 17, 17 | 
01, 02, 03, 04, 05 | 20, 20, 20, 20, 18 | 08, 09, 20, 14, 18 | 21, 21, 21, 21, 18 | 15, 16, 16, 17, 18 | 
